program_id;tercih_eden_sayisi
209510031;83
209510019;10
209510019;31
209510020;37
209510020;39
209510021;22
209510021;88
209510035;68
209510035;84
209510035;1
209510036;39
209510036;42
209510037;46
209510037;30
209510010;123
209510010;285
209510010;2
209510011;89
209510011;42
209510012;34
209510012;58
209510032;80
209510032;166
209510033;51
209510033;42
209510034;16
209510034;67
209510013;227
209510013;291
209510014;63
209510014;92
209510015;48
209510015;54
209510025;199
209510025;214
209510026;17
209510026;49
209510027;47
209510027;59
209510028;31
209510028;59
209510022;169
209510022;330
209510022;1
209510023;49
209510023;96
209510024;37
209510024;75
111790326;830
111790326;27
111711879;856
111711879;102
111711879;6
111711613;660
111711613;55
111710087;752
111710087;12
111710096;704
111710096;33
111711631;594
111711631;18
111711631;1
111711604;741
111711604;58
111711604;3
111790325;707
111790325;67
111710148;431
111710148;14
111710148;3
111710157;793
111710157;24
111711597;765
111711597;32
111710166;813
111710166;11
111710175;1243
111710175;17
111710184;821
111710184;26
111711755;431
111711755;41
111711755;3
111711985;563
111711985;39
111711764;574
111711764;26
111710412;4124
111710412;179
111710421;1149
111710421;100
111710439;1018
111710439;63
111710448;1626
111710448;135
111710457;1709
111710457;141
111712126;659
111712126;56
111710475;1283
111710475;30
111712056;1429
111712056;56
111711994;1472
111711994;56
111710484;1240
111710484;57
111712117;687
111712117;48
111712117;1
111790327;902
111790327;112
111710493;930
111710493;41
111712205;17
111710509;945
111710509;37
111710518;933
111710518;39
111790329;1165
111790329;15
111711507;508
111711507;25
111790328;565
111790328;6
111711525;373
111711525;3
111711534;920
111711534;15
111711543;867
111711543;12
111711552;940
111711552;26
111790315;322
111790315;9
111712214;210
111712214;10
111712223;217
111712223;3
111712241;70
111712232;80
111712232;2
111790316;278
111790316;13
111790316;6
111790317;259
111790317;39
111712268;70
111712268;3
111790318;308
111790318;53
111712277;82
111712277;18
111711667;727
111711667;17
111711667;7
111711437;656
111711437;33
111711816;232
111711816;3
111711455;983
111711455;40
111711825;240
111711825;2
111711737;807
111711737;56
111711473;907
111711473;42
209210046;19
209210046;40
209210046;2
209210047;140
209210047;35
209210048;570
209210048;417
209210048;24
209210048;1
209210043;14
209210043;47
209210043;9
209210044;148
209210044;38
209210044;1
209210045;414
209210045;516
209210045;16
209210045;3
209210055;20
209210055;35
209210056;129
209210056;37
209210057;506
209210057;454
209210057;24
209210057;1
209210093;29
209210093;39
209210094;117
209210094;71
209210095;222
209210095;732
209210095;42
209210081;73
209210081;58
209210082;320
209210082;347
209210082;13
209210083;91
209210083;46
209210084;240
209210084;424
209210058;20
209210058;62
209210059;160
209210059;74
209210060;868
209210060;715
209210060;13
209210092;16
209210092;21
209210010;120
209210010;33
209210010;5
209210011;399
209210011;287
209210011;3
209210067;76
209210067;52
209210068;289
209210068;369
209210068;1
209210063;52
209210063;34
209210064;121
209210064;223
209210064;1
209210061;43
209210061;52
209210061;3
209210062;62
209210062;103
209210065;93
209210065;50
209210066;326
209210066;473
209210085;80
209210085;58
209210086;132
209210086;254
209210086;10
209210041;96
209210041;56
209210041;2
209210069;87
209210069;29
209210070;328
209210070;240
209210070;2
209210071;140
209210071;42
209210072;576
209210072;309
209210072;8
209210073;43
209210073;44
209210073;1
209210074;252
209210074;292
209210075;168
209210075;106
209210042;121
209210042;32
209210089;149
209210089;129
209210089;2
209210052;37
209210052;29
209210053;129
209210053;46
209210054;497
209210054;400
209210054;16
209210049;28
209210049;25
209210049;1
209210050;76
209210050;46
209210051;487
209210051;474
209210051;19
209210051;2
110910096;1085
110910096;84
110910104;656
110910104;28
110910086;499
110910086;14
110910097;9
110910095;726
110910095;56
110910098;471
110910098;21
110910098;4
110910023;403
110910023;16
110910103;697
110910103;55
110910100;403
110910100;39
110910102;556
110910102;45
110910101;717
110910101;11
110910014;445
110910014;39
110910122;248
110910122;30
110910122;36
110910123;174
110910123;58
110910123;56
110910108;859
110910108;54
110910108;12
110910108;2
110910111;205
110910111;37
110910111;32
110910110;60
110910110;21
110910110;19
110910113;103
110910113;6
110910113;31
110910114;108
110910114;32
110910114;69
110910118;4
110910118;45
110910118;4
110910119;214
110910119;63
110910119;45
110910120;182
110910120;111
110910120;80
110910120;1
110910116;144
110910116;20
110910116;6
110910117;4
110910117;7
101190438;237
101190438;34
101190427;548
101190427;46
101190427;1
101190428;1089
101190428;41
