program_id;sehir_id;yerlesen_sayisi
110410223;6;5
110410223;60;2
110410223;7;7
110410223;55;1
110410223;33;4
110410223;43;1
110410223;34;7
110410223;42;1
110410223;54;1
110410223;32;1
110410223;2;1
110410223;35;5
110410223;1;10
110410223;68;1
110410223;46;1
110410223;72;1
110410227;33;5
110410227;51;1
110410227;10;1
110410227;35;2
110410227;58;1
110410227;80;2
110410227;1;39
110410227;43;1
110410227;70;1
110410227;41;1
110410227;44;1
110410227;24;1
110410227;31;6
110410213;35;1
110410213;27;2
110410213;34;1
110410213;7;1
110410213;38;1
110410213;66;1
110410213;63;2
110410213;46;4
110410213;4;1
110410213;33;5
110410213;68;1
110410213;25;1
110410213;31;4
110410213;1;37
110410228;27;1
110410228;51;1
110410228;44;2
110410228;31;2
110410228;68;1
110410228;80;1
110410228;41;2
110410228;35;1
110410228;33;7
110410228;1;27
110410228;34;2
110410228;70;2
110410228;77;2
110410228;6;1
110410028;45;2
110410028;58;2
110410028;65;1
110410028;38;2
110410028;42;1
110410028;16;2
110410028;6;2
110410028;34;1
110410028;31;2
110410028;20;1
110410028;46;2
110410028;44;1
110410028;70;1
110410028;27;5
110410028;21;1
110410028;33;8
110410028;19;1
110410028;10;1
110410028;51;1
110410028;80;3
110410028;67;1
110410028;25;1
110410028;55;1
110410028;1;14
110410028;60;1
110410028;7;2
110410028;41;2
110410224;70;1
110410224;28;1
110410224;42;6
110410224;51;1
110410224;65;2
110410224;19;1
110410224;1;26
110410224;2;3
110410224;46;4
110410224;33;4
110410224;9;2
110410224;34;1
110410224;80;3
110410224;63;1
110410224;38;3
110410224;31;4
110410224;17;1
110410224;35;2
110410224;3;1
110410224;27;2
110410224;44;1
110410224;25;1
110410224;47;1
110410143;79;1
110410143;44;2
110410143;1;29
110410143;42;3
110410143;27;4
110410143;16;2
110410143;35;1
110410143;38;2
110410143;32;1
110410143;33;9
110410143;34;3
110410143;67;1
110410143;46;1
110410143;31;7
110410143;2;1
110410143;7;3
110410143;55;2
110410064;1;5
110410064;31;1
110410064;6;1
110410064;35;1
110410064;33;1
110410019;31;4
110410019;10;1
110410019;40;1
110410019;33;7
110410019;34;1
110410019;1;33
110410019;66;2
110410019;46;3
110410019;44;1
110410019;41;1
110410019;6;2
110410019;68;2
110410019;42;1
110410019;21;1
110410019;27;1
110410019;64;1
110410037;6;2
110410037;21;1
110410037;2;1
110410037;1;31
110410037;7;2
110410037;38;1
110410037;33;4
110410037;27;3
110410037;31;6
110410037;34;3
110410037;44;1
110410037;46;1
110410037;16;1
110410037;39;1
110410037;42;2
110410037;28;1
110410037;51;1
110410225;54;1
110410225;72;1
110410225;35;1
110410225;33;5
110410225;80;1
110410225;27;1
110410225;1;8
110410179;6;1
110410179;1;2
110410179;7;1
110410046;49;1
110410046;6;1
110410046;33;1
110410046;1;9
110410046;34;1
110410082;1;1
110410082;63;1
110410073;42;1
110410073;31;1
110410073;1;44
110410073;33;5
110410073;80;2
110410073;41;1
110410073;6;1
110410073;34;2
110410073;27;2
110410073;16;2
110410073;46;1
110410222;38;1
110410222;61;1
110410222;9;1
110410222;4;1
110410222;26;1
110410222;34;2
110410222;3;1
110410222;42;1
110410222;25;1
110410222;27;3
110410222;68;1
110410222;49;1
110410222;33;1
110410222;80;2
110410222;31;6
110410222;1;28
110410226;63;1
110410226;42;1
110410226;27;2
110410226;33;3
110410226;31;3
110410226;7;1
110410226;1;31
110410226;46;5
110410226;72;1
110410226;80;1
110410226;16;1
110410226;68;1
110410226;34;1
100210362;42;1
100210362;40;1
100210362;45;3
100210362;25;1
100210362;9;1
100210362;7;1
100210362;71;1
100210362;27;6
